epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0915,1.02361,3.35165,1.13677,0.0123,1,0.37019,0.33691,0.71444,3.16201,0.89099,6.668e-05,6.668e-05,6.668e-05
2,59.1989,0.97301,2.82405,1.10609,0.01083,1,0.50401,0.42703,0.77201,3.0417,0.90173,0.00014805,0.00014805,0.00014805
3,86.4595,0.90894,1.60798,1.04728,0.01052,1,0.87979,0.72604,0.77606,2.62651,0.92694,0.000227219,0.000227219,0.000227219
4,112.462,0.93347,1.20363,1.01837,0.0105,1,0.90589,0.74938,0.79004,2.63388,0.9189,0.000304187,0.000304187,0.000304187
5,137.402,0.94318,1.10354,1.01207,0.07262,0.906,0.76726,0.63874,0.88315,2.70574,0.91783,0.000378956,0.000378956,0.000378956
6,161.747,0.85317,1.06582,0.98852,1,0.30286,0.80211,0.61674,0.96014,2.64685,0.95664,0.000451524,0.000451524,0.000451524
7,186.231,0.86966,0.97763,0.98832,1,0.22196,0.89152,0.66943,0.92591,2.50259,0.94918,0.000521891,0.000521891,0.000521891
8,210.993,0.88096,0.9541,0.97412,1,0.33106,0.89253,0.67542,0.8551,2.29829,0.92541,0.000590058,0.000590058,0.000590058
9,229.78,0.95642,0.8872,0.98878,0.97014,0.43772,0.94467,0.70678,0.89744,2.13555,0.94557,0.000656025,0.000656025,0.000656025
10,247.596,0.88911,0.93305,0.99204,0.86817,0.5,0.95283,0.68987,0.95088,2.00856,0.98117,0.000719791,0.000719791,0.000719791
11,265.707,0.88983,0.8695,0.99929,0.92977,0.5,0.95403,0.69504,1.01183,1.9472,0.99579,0.000781356,0.000781356,0.000781356
12,284.871,0.89819,0.88846,1.00012,0.90166,0.55417,0.92567,0.67854,1.00392,2.07508,1.01044,0.000840721,0.000840721,0.000840721
13,302.802,0.86217,0.86716,0.97828,0.92677,0.48216,0.90278,0.64771,1.02594,2.16952,1.03074,0.000897886,0.000897886,0.000897886
14,320.083,0.81101,0.84643,0.95911,0.94752,0.53374,0.93118,0.67688,1.05178,2.11136,1.04498,0.000952851,0.000952851,0.000952851
15,338.448,0.89833,0.84919,1.00218,0.84295,0.5645,0.94511,0.71985,0.95834,2.03297,1.01093,0.00100561,0.00100561,0.00100561
16,355.535,0.92219,0.88939,1.00816,0.70338,0.53824,0.905,0.61936,1.04782,2.0479,1.04845,0.00105618,0.00105618,0.00105618
17,375.337,0.89283,0.84214,1.01174,0.74409,0.57197,0.81784,0.53019,1.11876,2.23895,1.12152,0.00110454,0.00110454,0.00110454
18,394.001,0.82025,0.80418,0.96876,0.72443,0.72734,0.91531,0.66953,1.00878,1.83974,1.02111,0.0011507,0.0011507,0.0011507
19,412.473,0.88721,0.82274,1.0107,0.68339,0.71401,0.92605,0.68456,0.97687,1.72754,1.01495,0.00119467,0.00119467,0.00119467
20,430.461,0.82265,0.78426,0.97773,0.78652,0.70556,0.89504,0.6444,1.13031,1.71735,1.04807,0.00123643,0.00123643,0.00123643
21,448.418,0.76688,0.79689,0.96567,0.84369,0.75776,0.90325,0.63785,1.11222,1.56452,1.06182,0.00122691,0.00122691,0.00122691
22,468.366,0.85354,0.7859,0.97425,0.87002,0.85678,0.96263,0.73685,0.9374,1.34339,1.01743,0.00120491,0.00120491,0.00120491
23,488.592,0.75809,0.72086,0.94134,0.86003,0.86453,0.96467,0.74423,0.9188,1.19019,1.01288,0.0011829,0.0011829,0.0011829
24,509.981,0.82289,0.74933,0.97639,0.90263,0.88832,0.96279,0.73668,0.94689,1.15238,1.00969,0.0011609,0.0011609,0.0011609
25,531.029,0.76157,0.71934,0.92753,0.937,0.92207,0.98287,0.75062,0.91926,1.02348,0.98575,0.00113889,0.00113889,0.00113889
26,2119.23,0.80644,0.71903,0.9518,1,0.94046,0.99166,0.75075,0.9396,0.91275,0.98864,0.00111689,0.00111689,0.00111689
27,2139.9,0.79093,0.70041,0.94767,1,0.93422,0.99138,0.77208,0.92158,0.86052,0.97887,0.00109489,0.00109489,0.00109489
28,2161.23,0.73742,0.6914,0.92539,0.85431,0.95,0.98463,0.76711,0.91569,0.8824,0.99494,0.00107288,0.00107288,0.00107288
29,2182.26,0.7674,0.70759,0.96033,0.88946,0.9461,0.98426,0.76726,0.89092,0.90039,0.98866,0.00105088,0.00105088,0.00105088
30,2202.76,0.78808,0.68444,0.96467,0.87941,0.95248,0.98307,0.75326,0.88802,0.86192,0.98285,0.00102887,0.00102887,0.00102887
31,2223.48,0.74406,0.68098,0.93576,0.91047,0.9494,0.98069,0.75094,0.89423,0.82636,0.97799,0.00100687,0.00100687,0.00100687
32,2243.98,0.74139,0.70192,0.95963,0.90437,0.92062,0.97895,0.75596,0.90533,0.81928,0.98203,0.000984864,0.000984864,0.000984864
33,2264.84,0.76869,0.68336,0.94358,0.89389,0.94469,0.98299,0.76857,0.87611,0.83635,0.97718,0.000962859,0.000962859,0.000962859
34,2285.62,0.74346,0.68222,0.96678,0.88334,0.94513,0.98009,0.77347,0.85649,0.8259,0.96348,0.000940855,0.000940855,0.000940855
35,2305.96,0.747,0.6827,0.95049,0.89367,0.98066,0.98465,0.78588,0.84643,0.73448,0.95225,0.00091885,0.00091885,0.00091885
36,2327.03,0.70255,0.62074,0.91265,0.92389,1,0.9866,0.78195,0.87839,0.68702,0.98302,0.000896846,0.000896846,0.000896846
37,2347.51,0.73863,0.63109,0.93239,0.92097,0.99595,0.98562,0.77675,0.89511,0.69668,0.99528,0.000874842,0.000874842,0.000874842
38,2368.83,0.70691,0.59685,0.92265,0.92437,0.99664,0.98694,0.79262,0.88328,0.65064,0.98528,0.000852837,0.000852837,0.000852837
39,2389.48,0.74468,0.64454,0.97818,0.96106,0.99729,0.98435,0.79469,0.86553,0.61355,0.96934,0.000830833,0.000830833,0.000830833
40,2409.74,0.67859,0.58772,0.91031,0.96268,1,0.98113,0.7811,0.86217,0.62714,0.96952,0.000808828,0.000808828,0.000808828
41,2431.06,0.71467,0.64759,0.95587,0.97039,0.97866,0.97798,0.76094,0.88605,0.63546,0.97363,0.000786824,0.000786824,0.000786824
42,2451.93,0.68964,0.59185,0.9235,0.94579,0.99608,0.977,0.76456,0.87605,0.637,0.96311,0.00076482,0.00076482,0.00076482
43,2472.29,0.65712,0.6072,0.90876,0.96344,0.96667,0.97593,0.76723,0.87253,0.64495,0.96491,0.000742815,0.000742815,0.000742815
44,2493.05,0.66819,0.61741,0.93771,0.96534,0.98333,0.98467,0.76472,0.86481,0.6296,0.97673,0.000720811,0.000720811,0.000720811
45,2513.53,0.62938,0.61376,0.91485,0.9687,0.98333,0.9894,0.77227,0.84895,0.62318,0.97796,0.000698806,0.000698806,0.000698806
46,2534.5,0.67398,0.59495,0.93406,0.97911,0.98333,0.9929,0.78899,0.85927,0.61489,0.96842,0.000676802,0.000676802,0.000676802
47,2554.71,0.71642,0.59733,0.921,0.97655,0.99417,0.99403,0.78879,0.85976,0.60006,0.96188,0.000654798,0.000654798,0.000654798
48,2575.53,0.66077,0.56962,0.90521,0.98097,0.99438,0.99452,0.79688,0.85527,0.59122,0.96336,0.000632793,0.000632793,0.000632793
49,2596.39,0.64288,0.578,0.91377,0.98396,0.98333,0.99452,0.79064,0.86745,0.6005,0.96415,0.000610789,0.000610789,0.000610789
50,2617.13,0.62679,0.55894,0.90549,0.99859,0.97875,0.99406,0.7839,0.88733,0.59254,0.9618,0.000588784,0.000588784,0.000588784
51,2638.03,0.60005,0.51637,0.88416,0.98915,0.98314,0.99452,0.78902,0.90768,0.58395,0.95631,0.00056678,0.00056678,0.00056678
52,2658.47,0.61839,0.55516,0.90527,0.98016,0.97991,0.99452,0.78219,0.85266,0.57458,0.94849,0.000544776,0.000544776,0.000544776
53,2679.11,0.62872,0.55045,0.89086,0.97328,0.9939,0.995,0.77629,0.8501,0.57025,0.95585,0.000522771,0.000522771,0.000522771
54,2700.08,0.65383,0.56158,0.93162,0.98085,1,0.995,0.78286,0.85154,0.56031,0.95346,0.000500767,0.000500767,0.000500767
55,2720.64,0.60772,0.54848,0.89408,0.98782,1,0.995,0.78793,0.86263,0.55688,0.95021,0.000478762,0.000478762,0.000478762
56,2741.76,0.65229,0.56204,0.89443,0.97912,1,0.995,0.78589,0.88616,0.57377,0.95985,0.000456758,0.000456758,0.000456758
57,2762.64,0.61271,0.56278,0.89175,0.97319,1,0.995,0.78273,0.88097,0.57518,0.96145,0.000434754,0.000434754,0.000434754
58,2783.96,0.59906,0.52039,0.88094,0.9717,1,0.995,0.78423,0.8742,0.56621,0.96679,0.000412749,0.000412749,0.000412749
59,2805.98,0.58863,0.51374,0.89647,0.96741,1,0.995,0.77635,0.86545,0.55973,0.96512,0.000390745,0.000390745,0.000390745
60,2828.29,0.64727,0.54942,0.92475,0.96891,1,0.995,0.79689,0.8489,0.54331,0.95361,0.00036874,0.00036874,0.00036874
61,2849.03,0.61245,0.51828,0.8994,0.9729,0.99992,0.995,0.80052,0.84747,0.52947,0.94804,0.000346736,0.000346736,0.000346736
62,2869.42,0.59008,0.50418,0.8822,0.97302,1,0.995,0.80275,0.83448,0.51545,0.94125,0.000324732,0.000324732,0.000324732
63,2889.6,0.56757,0.49804,0.89576,0.982,1,0.995,0.81097,0.82375,0.5038,0.9368,0.000302727,0.000302727,0.000302727
64,2911.06,0.5778,0.49826,0.88474,0.99098,1,0.995,0.82795,0.81265,0.50706,0.93186,0.000280723,0.000280723,0.000280723
65,2932.72,0.54858,0.48905,0.88416,0.9927,1,0.995,0.81775,0.81385,0.50834,0.93019,0.000258718,0.000258718,0.000258718
66,2953.94,0.49115,0.59766,0.84296,0.99101,1,0.995,0.81567,0.81991,0.50706,0.93082,0.000236714,0.000236714,0.000236714
67,2975.36,0.52618,0.5525,0.87334,0.98726,0.99876,0.995,0.80941,0.8272,0.51018,0.93354,0.00021471,0.00021471,0.00021471
68,2997.87,0.49236,0.55498,0.85452,0.99105,0.9876,0.995,0.7968,0.85477,0.54724,0.94329,0.000192705,0.000192705,0.000192705
69,3019.68,0.53227,0.568,0.86972,0.99476,0.98519,0.995,0.78725,0.8604,0.56617,0.94627,0.000170701,0.000170701,0.000170701
70,3041.41,0.47414,0.55787,0.82081,0.99523,0.98527,0.995,0.77634,0.86524,0.57053,0.95065,0.000148696,0.000148696,0.000148696
71,3064.05,0.48193,0.54462,0.8493,0.99657,0.98552,0.995,0.77608,0.86552,0.56426,0.95101,0.000126692,0.000126692,0.000126692
72,3085.19,0.44937,0.5172,0.84864,0.99143,0.99761,0.995,0.77877,0.86284,0.54442,0.94939,0.000104688,0.000104688,0.000104688
73,3106.69,0.48748,0.53422,0.85245,0.99474,0.99875,0.995,0.78378,0.86226,0.53631,0.94726,8.26832e-05,8.26832e-05,8.26832e-05
74,3130.4,0.4448,0.50459,0.83719,0.99567,0.99976,0.995,0.78962,0.86118,0.52975,0.94579,6.06788e-05,6.06788e-05,6.06788e-05
75,3152.87,0.44883,0.51801,0.80534,0.99556,1,0.995,0.78816,0.86224,0.52551,0.94608,3.86744e-05,3.86744e-05,3.86744e-05
